asset,Date,Open,High,Low,Close
NOK,2012-04-04,NA,426.92,421.24,421.93
NOK,2012-04-03,NA,431.36,426.86,426.92
NOK,2012-04-02,NA,430.93,424.93,430.93
NOK,2012-03-30,NA,426.61,420.39,426.61
NOK,2012-03-29,NA,426.71,420,420.4
NOK,2012-03-28,NA,429.99,425.74,426.47
NOK,2012-03-27,NA,436.5,429.46,429.49
NOK,2012-03-26,NA,434.5,428.05,434.5
NOK,2012-03-23,NA,428.73,423.7,428.36
NOK,2012-03-22,NA,428.36,422.44,423.73
NOK,2012-03-21,NA,432.11,425.71,427.96
NOK,2012-03-20,NA,436.26,428.65,429.08
NOK,2012-03-19,NA,436.34,433.55,436.24
NOK,2012-03-16,NA,435.18,431.84,434.45
NOK,2012-03-15,NA,434.24,431.49,431.88
NOK,2012-03-14,NA,433.31,427.44,432.35
NOK,2012-03-13,NA,427.84,422.43,427.44
NOK,2012-03-12,NA,425.94,422.43,422.43
NOK,2012-03-09,NA,426.58,422.79,425.8
NOK,2012-03-08,NA,424.23,415.88,423.56
NOK,2012-03-07,NA,415.88,410.24,415.88
NOK,2012-03-06,NA,423.37,410.77,410.77
NOK,2012-03-05,NA,429.1,423.12,423.36
NOK,2012-03-02,NA,429.7,427.68,429.1
NOK,2012-03-01,NA,430.22,426.53,428.37
NOK,2012-02-29,NA,432.33,428.7,429.85
NOK,2012-02-28,NA,430.6,427.23,430.54
NOK,2012-02-27,NA,428.87,425.26,428.87
NOK,2012-02-24,NA,428.29,423.21,427.64
NOK,2012-02-23,NA,427.53,421.83,423.21
NOK,2012-02-22,NA,426.44,422.5,425.86
NOK,2012-02-21,NA,426.66,423.44,425.1
NOK,2012-02-20,NA,426.32,420.48,426.03
NOK,2012-02-17,NA,425.1,419.88,420.48
NOK,2012-02-16,NA,421.07,417.37,420.86
NOK,2012-02-15,NA,421.39,414.83,419.84
NOK,2012-02-14,NA,417.51,413.72,414.83
NOK,2012-02-13,NA,419.97,415.49,415.81
NOK,2012-02-10,NA,417.03,413.42,417.02
NOK,2012-02-09,NA,417.34,411.39,416.07
NOK,2012-02-08,NA,414.33,408.24,411.39
NOK,2012-02-07,NA,413.65,405.43,408.51
NOK,2012-02-06,NA,411.19,406.33,410.76
NOK,2012-02-03,NA,409.91,401.75,409.91
NOK,2012-02-02,NA,405.51,401.46,405.11
NOK,2012-02-01,NA,404.66,397.17,404.6
NOK,2012-01-31,NA,398.71,394.67,397.36
NOK,2012-01-30,NA,399.58,393.98,394.67
NOK,2012-01-27,NA,401.8,397.82,399.51
NOK,2012-01-26,NA,400.24,395.17,399.71
NOK,2012-01-25,NA,397.4,393.52,395.17
NOK,2012-01-24,NA,398.21,391.76,394.27
NOK,2012-01-23,NA,400.33,395.5,398.2
NOK,2012-01-20,NA,400.08,394.43,396.19
NOK,2012-01-19,NA,399.26,394.86,398.67
NOK,2012-01-18,NA,399.33,394.04,396.53
NOK,2012-01-17,NA,400.52,395.57,397.51
NOK,2012-01-16,NA,395.61,389.44,395.57
NOK,2012-01-13,NA,401.11,391.86,394.45
NOK,2012-01-12,NA,400.6,394.3,398.7
NOK,2012-01-11,NA,397.64,392.76,394.39
NOK,2012-01-10,NA,396.35,389.09,396.23
NOK,2012-01-09,NA,394.9,388.94,389.09
NOK,2012-01-06,NA,394.69,391.64,392.51
NOK,2012-01-05,NA,395,391.07,393.25
NOK,2012-01-04,NA,394.11,389.89,391.13
NOK,2012-01-03,NA,394.35,388.92,394.09
NOK,2012-01-02,NA,389.51,383.73,389.48
NOK,2011-12-30,NA,385.39,382.51,384.95
NOK,2011-12-29,NA,383.67,378.74,383.26
NOK,2011-12-28,NA,384.82,379.58,379.88
NOK,2011-12-27,NA,385.65,382.05,383.75
NOK,2011-12-23,NA,383.07,378.81,383.06
NOK,2011-12-22,NA,379.02,372.51,379.01
